id,stevilo_strani,jezik,izdajatelj,drzava,opis
78031607390,176,English,"Little, Brown &amp; Company","New York, United States","                            YOTSUBA heeeeeere! Guess what, guess what!? Yotsuba is going to a flower store with Fuuka! Yotsuba's gonna give flowers to everybody in the whole, wide world, even the police lady with her whistle that goes - PI! PI! PIPI! PI! PIPUUUUUUUU!!"
78031607392,208,English,"Little, Brown &amp; Company","New York, United States",                            Yotsuba met a robot at Ena's house! Betcha haven't met one ever! It was THIIIIIS big - but not bigger than Jumbo or anything - and it ate money! Yotsuba's never met anyone who ate money before! Maybe it gets more powers with more money!? Yotsuba should try giving it more money next time! Huh...what happens when money-eating robots get full? Do they have to go to the little robots' room? Hmmmm...
78031607607,192,English,"Little, Brown &amp; Company","New York, United States","                            The air of celebration surrounding fifteen-year-old Oz Vessalius's coming-of-age ceremony quickly turns to horror when he is condemned for a sin about which he knows nothing. He is thrown into an eternal, inescapable prison known as the Abyss from which there is no escape. There, he meets a young girl named Alice, who is not what she seems. Now that the relentless cogs of fate have begun to turn, do they lead only to crushing despair for Oz, or is there some shred of hope for him to grasp on to?"
78031607738,672,English,"Little, Brown &amp; Company","New York, United States","                            The best high school stories are simultaneously funny, warm, and endearing - but most importantly, the characters come alive on the page. Get to know the girls who set a new standard for the high school experience!Sakaki - strong and silent with a soft and fuzzy centerChiyo - a towering intellect wrapped in a ten-year-old packageTomo - The MouthYomi - should stop eating if she wants to lose weightOsaka - well, she's . . . differentThe original phenomenon from Kiyohiko Azuma, beloved creator of YOTSUBA&!, is collected in this deluxe edition and is an absolute necessity for any manga enthusiast's library!"
78031608084,192,English,"Little, Brown &amp; Company","New York, United States","                            Just a stone's throw from London lies the manor house of the illustrious Phantomhive earldom, its master one Ciel Phantomhive. Earl Phantomhive is a giant in the world of commerce, Queen Victoria's faithful servant . . . and a slip of a twelve-year old boy. Fortunately, his loyal butler, Sebastian, is ever at his side, ready to carry out the young master's wishes. And whether Sebastian is called to save a dinner party gone awry or probe the dark secrets of London's underbelly, there is practically nothing Sebastian cannot do. In fact, one might even say Sebastian is too good to be true . . . or at least, he is too good to be human . . ."
78031608425,192,English,"Little, Brown &amp; Company","New York, United States","                            As high society's social calendar opens up and the Season draws to a close, London is gripped by fear. Someone has taken to stalking women of the night and painting the town red...in their blood. The name on everyone's lips seems to be 'Jack the Ripper' - and as a result, the name on Queen Victoria's lips is Phantomhive. Summoned to London to clean up the mess created by this madman, Ciel Phantomhive arrives with Sebastian, his extraordinary butler, at his side to pour him tea, polish his silver, and...investigate a serial killer. And with the aid (and occasional interference) of a few of the Phantomhive house's numerous acquaintances, little stands in the way of the young earl getting to the bottom of this mystery. However, one question remains...can he handle the shattering truth behind it?"
78031608426,192,English,"Little, Brown &amp; Company","New York, United States","                            Terrorizing its populace, Jack the Ripper has shaken London to its very core. But when Sebastian Michaelis, singular butler of the Phantomhive house, lays bare the madman's true identity, all that is left for him to do is eliminate the perpetrator in the name of the Queen and Phantomhive. But inhumanly efficient skills don't guarantee victory when the opponent is just as supernaturally gifted! And though Sebastian may be able to save Ciel from physical harm in the battle that ensues, will the young earl ever recover from the emotional scars it will leave on his heart?"
78031608428,192,English,"Little, Brown &amp; Company","New York, United States","                            London - the capital of the Great Empire - is once again under siege, as a string of bizarre attacks on British citizens returned from India sends rumours flying and casts a pall upon Queen Victoria's rule. Sent in by Her Majesty, young Earl Phantomhive and his most capable butler, Sebastian, follow a trail that collides head-on with an Indian youth who claims to be a prince. And this prince possesses an extraordinary butler of his own! As an intense rivalry between the two butlers begins to form, will the kitchen be the dueling duo's final battleground?!"
78031608430,176,English,"Little, Brown &amp; Company","New York, United States","                            The cheer of the holidays has passed, but the Noah's Ark traveling circus has been making the rounds, bringing fun and joy to children of all ages. However, as the ringmaster's cries fade away, a disturbing trend begins to surface in the wake of the colourful entourage. Children seem to disappear whenever the circus packs up for its next destination, and there are no clues...or corpses...to be found. But when the situation calls for Ciel and Sebastian to infiltrate the big top, will Sebastian's inhuman skills be enough to see him and his young master through a treacherous tightrope act that may well end in death?"
78031612679,224,English,"Little, Brown &amp; Company","New York, United States","                            Beep-beep-beep! Yotsuba here, and riiiight on schedule! Every day is a fun day, and today's gonna be even funner than the rest. We're busy, busy, busy! We should write down a schedule so we don't forget what we gotta do...like go to the bathroom! And go to the berry gair...um, teddy bear store with Daddy! And try to fly! Omigosh, Yotsuba missed toilet time already! Noooo! What to do?! What to do?!"
78031618099,192,English,"Little, Brown &amp; Company","New York, United States","                            Acclaimed creator Kaoru Mori (Emma, Shirley) brings the nineteenth-century Silk Road to lavish life, chronicling the story of Amir Halgal, a young woman from a nomadic tribe betrothed to a twelve-year-old boy eight years her junior. Coping with cultural differences, blossoming feelings for her new husband, and expectations from both her adoptive and birth families, Amir strives to find her role as she settles into a new life and a new home in a society quick to define that role for her."
78031618963,176,English,"Little, Brown &amp; Company","New York, United States","                            Having successfully infiltrated the Noah's Ark Circus in the guise of rookie performers, Earl Ciel Phantomhive and his butler, Sebastian, set about gathering clues backstage as to the whereabouts of the missing children. But when a turn at a snooping puts Ciel on the trail of a man whose identity is shrouded in mystery, he sets his consummate manservant to the task of investigating further. This time, however, Sebastian must call upon one of the more infamously wicked skills of his kind to solve the puzzle. As he stalks his vulnerable prey in the shadows of the fairgrounds, is his young master prepared for where the ill-gotten gains of his butler's methods will lead?"
78031618965,176,English,"Little, Brown &amp; Company","New York, United States","                            When one curtain falls upon the big top stage, another rises behind the scenes, as young Earl Ciel Phantomhive and his virtuoso butler, Sebastian, face off against the villain behind the missing children. But as Sebastian, under orders from his master, single-handedly draws the gruesome tale to its sad conclusion on one front, battle lines are drawn on another! With the masterless Phantomhive Manor under attack from the Noah's Ark Circus and Sebastian nowhere nearby to protect its inhabitants, is Ciel's home once again headed for the same tragedy that took the lives of the young earl's parents?"
78031618967,176,English,"Little, Brown &amp; Company","New York, United States","                            Earl Ciel Phantomhive's quietude is interrupted as Queen Victoria's very own butlers commandeer Phantomhive Manor for a lavish banquet sanctioned by Her Majesty. Preparations for such an event are quick work in the hands of Sebastian, the house's most able butler, but corralling the eminent guests may prove to be rather more of a challenge. For this dinner party is anything but festive, and as a stormy night batters the outside of the grand residence, a far more violent storm begins to unfurl within. And no one is safe from the havoc it will wreak-not even one seemingly impervious manservant..."
78031618988,176,English,"Little, Brown &amp; Company","New York, United States","                            With his royally sanctioned dinner party a shambles and a murderer on the loose, Earl Ciel Phantomhive is a veritable prisoner in his own home, alongside those of his guests who still live. And in the most shocking of turns, the young earl now finds himself without his indispensible manservant, Sebastian. But as the mystery deepens, there arrives upon the young earl's doorstep an odd vicar, wearing an insolent smile and an Inverness cape that flaps and splashes behind him... Is this mysterious thirteenth guest the perpetrator of the crimes that have bloodied the halls of Phantomhive Manor?"
78031619033,224,English,"Little, Brown &amp; Company","New York, United States","                            Yotsuba loooooves playing games! When Daddy's the counter at hide-and-seek, he can never find Yotsuba, 'cause I'm such a good hider! And when we go to the park, Yotsuba's the bestest at swing-tag-shoe-races. Daddy says Yotsuba's just making up the rules as we go along, but Yotsuba thinks Daddy's just a sour loser. But maybe Yotsuba will let him win once in a while..."
78031622533,176,English,"Little, Brown &amp; Company","New York, United States","                            Whispers turn into screaming headlines in Earl Ciel Phantomhive's morning paper as word of the dead being resurrected takes society by storm. But when the unsavoury details of the business reach Ciel's ear, he and his superlative butler, Sebastian, book themselves on a luxury liner to look into these alleged miracles and the 'Aurora Society' conducting them. As the waters lap and crash all around the vessel, mysterious individuals gather under the banner of the 'Phoenix.' Ciel and Sebastian may be one step closer to the truth, but have they sealed their fates by conducting an investigation on what could easily become a floating coffin...?"
78031624430,176,English,"Little, Brown &amp; Company","New York, United States","                            The veil of mystery cast over the Aurora Society's 'absolute salvation' is torn away, and the true mastermind behind the scheme steps forward at long last. In the ensuing battle, Earl Ciel Phantomhive looks on in horror as Sebastian, his infallible manservant, is struck down by the death scythe of an unforeseen combatant. Devil though he may be, even Sebastian is not immune to the blade of a reaper's scythe. As Sebastian's cinematic record spills forth, the tale of how a devil became a butler to a little lost lord flickers to life in shades of sepia, blood, and ash..."
78031624546,192,English,"Little, Brown &amp; Company","New York, United States","                            Hearing rumors of a 'leg bone of the wolf' being used as an artifact of the Church to showcase its power, Lawrence and Holo head to the site to gather more information. Holo can't just turn away from what might be a relic of her own kind, after all. Of course, upon arrival, the travelers find that the town is the center of a giant trade dispute! Seems that Col will be getting a lesson in microeconomics!"
78031624548,224,English,"Little, Brown &amp; Company","New York, United States","                            The capture of a narwhal and the ensuing power struggle between the northern and southern districts of Kerube has Lawrence caught in the middle! Backed into a corner by his own trade guild, can the merchant find a way to extricate himself from this delicate situation? And what of the wolf bone from Holo's pack? Can the Wisewolf of Yoitsu manage to keep her rage and frustration in check?"
78031626869,192,English,"Little, Brown &amp; Company","New York, United States","                            The sweet, 'aww'-inspiring tale of school life continues!!By all appearances, Kyouko Hori and Izumi Miyamura are worlds apart. Bright and capable, Hori is always surrounded by classmates, the center of attention. For Miyamura, a quirky loner, getting through class unnoticed counts as a good day. But ever since these two started sharing secrets, they've found themselves drawn into each other's orbit little by little and the distance between them shrinking bit by bit..."
78031627010,176,English,"Little, Brown &amp; Company","New York, United States","                            A sweet 'aww'-inspiring tale of school life continues!!The longer Hori and Miyamura keep each other's secrets, the closer they get. When Hori blurts out an inadvertent 'I like you,' will Miyamura respond in kind? Or could the slipup spell the end of their friendship...?"
78031627011,176,English,"Little, Brown &amp; Company","New York, United States","                            When Miyamura murmurs an 'I like you' to Hori, who's laid up in bed with a fever, is he talking to himself? Or is he actually confessing to having feelings for her?! Hori is conflicted, but their secret-filled relationship is unmistakably changing little by little..."
78031627012,192,English,"Little, Brown &amp; Company","New York, United States","                            Hori and Miyamura are now officially a couple, and everyone knows it. But not everything's coming up roses for Miyamura, who's worried that people are talking about Hori behind her back. When his anxiety about being Hori's boyfriend reaches fever pitch, Miyamura drastically changes his look, which changes everyone's opinion of him all at once..."
78031627013,176,English,"Little, Brown &amp; Company","New York, United States","                            Connect, come together, and the world will change for the better one day at a time.Seeing Miyamura and Hori together every day feels natural. They play around, long for each other, and even get into fights on occasion. What will happen as their bitter, sweet, and acidic school life continues?"
78031627224,256,English,"Little, Brown &amp; Company","New York, United States","                            For twelve years, the virtual world of Yggdrasil has served as the playground and battlefield for the skeletal lord Momonga and his guild of fellow monsters, Ainz Ooal Gown. But the guild's glory days are over, and the game is shutting down permanently. When Momonga logs in one last time just to be there when the servers go dark, something happens-and suddenly, fantasy is reality. A rogues' gallery of fanatically devoted NPCs is ready to obey his every order, but the world Momonga now inhabits is not the one he remembers. The game may be over, but the epic tale of Ainz Ooal Gown is only beginning..."
78031630947,144,English,"Little, Brown &amp; Company","New York, United States","                            The boy of her dreams...is a girl's manga artist?!To the eyes of high school student Chiyo Sakura, classmate Umetarou Nozaki--brawny of build and brusque of tongue--is a dreamboat! When Chiyo finally works up the courage to tell Nozaki how she feels about him, she knows rejection is on the table...but getting recruited as a manga-ka's assistant?! Never in a million years! But for someone who makes a living drawing sweet girly romances, Nozaki-kun is a little slow on the uptake when it comes to matters of the heart in reality. And so Chiyo's daily life of manga making and heartache begins!"
78031632232,224,English,"Little, Brown &amp; Company","New York, United States","                            Oops! Your shoe! Your shoe! Your shoe came untied! But don't worry! Tora taught Yotsuba how to tie a bow like a butterfly! Now Yotsuba can tie Juralumin's ribbon aaaall by herself. Huh? Why are Yotsuba's hands blue? Well, see, there was this reeeally pretty blue paint...and Yotsuba thought Daddy would want his stuff to be reeeally pretty blue too... Are Yotsuba's hands gonna stay blue forever and ever?!!"
78031632236,272,English,"Little, Brown &amp; Company","New York, United States","                            After the turmoil in Kerube, Lawrence and his companions make for the Kingdom of Winfiel across the sea. Their destination is the great abbey of Brondel, said to hold the wolf bones they seek. Arriving in the kingdom, they hear tell that the abbey, normally prosperous due to its great wool trade, has fallen into a financial crisis. Worse, the most powerful economic force in the world-the Ruvik Alliance-is entering the kingdom with its eye upon the abbey's land holdings..."
78031634203,176,English,"Little, Brown &amp; Company","New York, United States","                            A sweet 'aww'-inspiring tale of school life begins!!At school, Kyouko Hori is known for being smart, attractive, and popular. On the other hand, her classmate, the boring, gloomy Izumi Miyamura tends to get painted as a 'loser fanboy.' But when a liberally pierced and tattooed (not to mention downright gorgeous) Miyamura appears unexpectedly on the doorstep of secretly plain-Jane homebody Hori, these two similarly dissimilar teenagers discover that there are multiple sides to every story...and person!"
78031634217,256,English,"Little, Brown &amp; Company","New York, United States","                            'There's no way to beat this game. The only difference is when and where you die...'Having cleared the first and second floors of Aincrad at great cost, Kirito, Asuna, and the rest of the players ascend to the third floor. Tenuous new allies await them--most crucially, Kizmel, the elven knight. Kizmel is supposed to be a minor NPC with low-level AI, but she soon reveals herself to be much more. With new allies come new complications, though, and the elves of the vast third-floor forest are no more united than the players who have just arrived there. The intrigue deepens when a mysterious figure challenges Kirito, and what begins as a simple contest of skill may actually be something far deadlier! Sword Art Online: Progressive is a new version of the Sword Art Online tale that chronicles the entirety of Kirito and Asuna's epic adventure through Aincrad--from the first level all the way up!"
78031634883,256,English,"Little, Brown &amp; Company","New York, United States","                            'Here we go, Asuna! Hang on tight! Tilnel, launch!'Having said their good-byes to the mysterious elven knight Kizmel, Kirito and Asuna set their sights on the fourth floor of Aincrad. But once they open the door, they find the way forward blocked by a powerfully flowing river. The updated version of the fourth floor has been changed into a water world! When they finally arrive at the floor's town, they're greeted by chalk-white streets and countless gondolas of all sizes. To navigate this place, Kirito and Asuna will need their own gondola--but getting one will involve confronting an eight-meter-tall beast of flame: Magnaterium...And that's only the beginning of the difficulties the fourth floor of Aincrad has in store!Sword Art Online: Progressive, a new version of the Sword Art Online tale chronicling the entirety of Kirito and Asuna's epic adventure through Aincrad, continues!"
78031636016,392,English,"Little, Brown &amp; Company","New York, United States","                            After a family tragedy turns her life upside down, plucky high schooler Tohru Honda takes matters into her own hands and moves out...into a tent! Unfortunately for her, she pitches her new home on private land belonging to the mysterious Sohma clan, and it isn't long before the owners discover her secret. But, as Tohru quickly finds out when the family offers to take her in, the Sohmas have a secret of their own--when touched by the opposite sex, they turn into the animals of the Chinese Zodiac!A perennial favorite of fans and librarians alike, Natsuki Takaya's beloved bestselling Fruits Basket series returns to print in gorgeous deluxe English-language omnibus editions with beautiful full-color illustrations that are not to be missed!"
78031636018,376,English,"Little, Brown &amp; Company","New York, United States","                            When she was living in a tent pitched on the Sohma family's land, Tohru Honda's primary concerns were dirt and slugs. But now that she's living with the Sohmas, she's gotten a crash course in magical powers and ancient curses! And as if keeping the Sohma clan secret wasn't bad enough, Tohru has to work overtime to prevent all the jealous girls from finding out that she's living under the same roof as the school prince, Yuki, and the school hothead, Kyo! What new drama will Valentine's Day bring into Tohru's life?!"
78031636064,384,English,"Little, Brown &amp; Company","New York, United States","                            Spring is in the air, and with spring comes break! When Shigure takes Tohru, Yuki, and Kyo to the Sohma's vacation home to make the most of Golden Week, the inevitable game of cat and rat is already underway, with sparks flying between Yuki and Kyo. But leave it to Tohru to smooth things over! The peace doesn't last, however, when another Sohma (or two?!) drops in! And even a vacation can't shake the rainy day that awaits the group upon their return. When a face from Kyo's past makes an appearance, he lets a shocking secret about the cat out of the bag..."
78031636065,392,English,"Little, Brown &amp; Company","New York, United States","                            Jealousy, rage, regret--the members of the Sohma family are no strangers to these emotions. Tohru Honda's cheerful optimism, however, is like a balm to them. Unfortunately, not every Sohma feels that way! Kisa and Tohru have become fast friends, but Hiro Sohma isn't too happy about this turn of events and decides to take out his anger on...Tohru?! And when the normally docile Hatsuharu snaps and pulls a Black Haru at school, will Tohru's brand of magic have any effect at all?!"
78031636066,368,English,"Little, Brown &amp; Company","New York, United States","                            As summer vacation inches closer, Tohru spends her days in anxious anticipation, Yuki meets a new student council member on the way to school...and Uo-chan is in love?! Who is the object of her affections?! Once summer break is in full swing, Tohru and the others take a trip to the Sohma family cottage at Momiji's invitation. Even though they're enjoying summer activities like swimming in the ocean and catching stag beetles, Yuki and Tohru have an ominous premonition! Meanwhile, Shigure pays a visit to the main house, where he makes a proposal to Akito--?!"
78031636071,384,English,"Little, Brown &amp; Company","New York, United States","                            Tohru should be having the time of her life during summer break at the Sohmas' vacation home...but ever since Akito appeared, Yuki and the others go off every day to meet with the zodiac leader. On top of that, Yuki is acting weird...! And when Tohru encounters the Horse of the zodiac, does that leave Akito as the Rooster?! Later, as the next school term begins, the new student council assembles at last!! While Yuki and those around him are occupied, Tohru secretly visits Kazuma. She wishes to free everyone in the Sohma family from their 'curse' and looks to him for a clue...Unexpectedly, however, Rin is poised to hinder Tohru's efforts...!!"
78031637681,256,English,"Little, Brown &amp; Company","New York, United States","                            Linked up and logged into the deadly VMMORPG 'Sword Art Online' in both the real and virtual worlds, Kirito is stuck in a hell of one man's making, and like everyone else, unable to escape until the game is beaten. But while some players are crippled by fear and others throw themselves into completing the game, still others relax into everyday life in the face of their cruel predicament and live to the best of their ability...laughing, crying, but always enjoying the game. Among them are four women who make a mark upon the solo adventurer that Kirito has become: Silica, the beast-tamer; Lisbeth, the blacksmith; Yui, the mysterious orphan; and the tragic Sachi, never to be forgotten by the black swordsman..."
78031638526,240,English,"Little, Brown &amp; Company","New York, United States","                            One fateful day, the One True God Tet collapsed from hunger in the back alleys of Elkia, only to be saved by Izuna. Tet recounts a story from 6000 years ago, about the 'Great War' that divided the heavens and tore the earth asunder. About the man who challenged the world and the girl who stayed by his side."
78031639601,208,English,"Little, Brown &amp; Company","New York, United States","                            As usual, Hachiman Hikigaya's warped personality prevents him from having any enjoyable moments of youth. The days all the seem the same until suddenly, an 'incident' occurs in class. This is a problem that no one who had any semblance of a normal high school life could solve, but if it's Hachiman, just maybe..."
78031639845,192,English,"Little, Brown &amp; Company","New York, United States",                            It's been three days since Subaru and Emilia separated
78031639881,256,English,"Little, Brown &amp; Company","New York, United States",                            A group of &#034;workers&#034; whose
78031641284,272,English,"Little, Brown &amp; Company","New York, United States",                            From the bestselling author of PandoraHearts comes the
78031641288,176,English,"Little, Brown &amp; Company","New York, United States",                            The second installment of the manga adaptation of the
78031646581,192,English,"Little, Brown &amp; Company","New York, United States","                            Cassandra Clare's bestselling series, The Mortal"
78031646582,192,English,"Little, Brown &amp; Company","New York, United States",                            The second installment of the graphic novel adaptation of Cassandra Clare's
78031646815,192,English,"Little, Brown &amp; Company","New York, United States","                            Atsushi has managed to rescue Kyouka Izumi, who's been working as a Port Mafia assassin against her will. But the deadly Akutagawa hasn't given up yet! Atsushi's not the only one with a dangerous foe, however. Mafia member Chuuya Nakahara makes his appearance, and his grudge against Dazai is nothing to sniff at!"
78031646932,176,English,"Little, Brown &amp; Company","New York, United States","                            The unbelievably attractive Akane Yanagi takes the stage...and maybe the lead from Miyamura?! The high school lives of the usual Kiri High suspects grow even livelier, as Hori abruptly starts demanding violence from Miyamura, the student council trio gets unusually flustered, and the sports festival arrives!"
78031652117,160,English,"Little, Brown &amp; Company","New York, United States",                            The third installment of the manga adaptation
78031655281,240,English,"Little, Brown &amp; Company","New York, United States","                            Rumors revolving around The Book of Vanitas, a clockwork grimoire of dubious reputation, draw No?, a young vampire in search of a friend's salvation, to Paris. What awaits him in the City of Flowers, however, is not long hours treading the pavement or rifling through dusty bookshops in search of the tome. Instead, his quarry comes to him...in the arms of a man claiming to be a vampire doctor! Thrust into a conflict that threatens the peace between humans and vampires, will No? cast in his lot with the curious and slightly unbalanced Vanitas and his quest to save vampirekind?"
78031655470,192,English,"Little, Brown &amp; Company","New York, United States","                            Having been kicked out of the orphanage, a despairing young man by the name of Atsushi Nakajima rescues a strange man from a suicide attempt--Osamu Dazai. Turns out that Dazai is part of a detective agency staffed by individuals whose supernatural powers take on a literary bent!"
78031655855,176,English,"Little, Brown &amp; Company","New York, United States","                            The manga adaptation of the hit movie and light novel will enthrall both new and old readers! Mitsuha, a high school girl from a town deep in the mountains, dreams of an unfamiliar life in Tokyo. Taki, a high school boy from Tokyo, dreams that he is a girl living in the mountains. As the two change places in their dreams, their encounter sets a miraculous story into motion."
78039958053,192,English,Potter/Ten Speed/Harmony/Rodale,United States,"                            From the #1 New York Times bestselling author and star of Netflix's Tidying Up with Marie Kondo, this graphic novelization brings Kondo's life-changing tidying method to life with the fun, quirky story of a woman who transforms her home, work, and love life using Kondo's advice and inspiration. <br />"
78054520887,224,English,Scholastic US,"New York, United States",                            The fourth book in the NYT's bestselling graphic novel
78075953001,208,English,"Little, Brown &amp; Company","New York, United States","                            Maka is a scythe meister, working to perfect one particular scythe until it is good enough to become Death's Weapon -- the weapon used by Shinigami-sama, the spirit of Death himself. As if that wasn't unusual enough, her scythe is a demon scythe called Soul Eater, which can change form from a scythe to a human-looking boy. In order to make Soul Eater powerful enough to be Death's Weapon, he must eat the souls of 99 humans and 1 witch. Along the way, the two of them face many different challenges, including a cat witch named Blair (who happens to have a thing for Soul) and a teacher who's been turned into a zombie (and wants him to join her!). Her fellow students, like the shadow ninja weapon meister named Black Star who always needs to be the center of attention, aren't much help, either. It'll be a miracle if Maka even survives, let alone manages to make Soul Eater into the Death Scythe."
78075953048,192,English,"Little, Brown &amp; Company","New York, United States","                            The remedial assignment continues as Soul and Maka confront Dr. Franken Stein, the man behind Sid-sensei's unfortunate transformation and the strongest meister ever to graduate from Death Weapon Meister Academy. Even without a weapon, his massive soul dwarfs them all-even big shot Black*Star! Can Maka rally her strength to face Stein in battle, or will despair be her downfall?"
78075953104,240,English,"Little, Brown &amp; Company","New York, United States","                            The life of a traveling merchant is a lonely one, a fact with which Kraft Lawrence is well acquainted. Wandering from town to town with just his horse, cart, and whatever wares have come his way, the peddler has pretty well settled into his routine-that is, until the night Lawrence finds a wolf goddess asleep in his cart. Taking the form of a fetching girl with wolf ears and a tail, Holo has wearied of tending to harvests in the countryside and strikes up a bargain with the merchant to lend him the cunning of 'Holo the Wisewolf' to increase his profits in exchange for taking her along on his travels. What kind of businessman could turn down such an offer? Lawrence soon learns, though, that having an ancient goddess as a traveling companion can be a bit of a mixed blessing. Will this wolf girl turn out to be too wild to tame?"
78075953111,208,English,"Little, Brown &amp; Company","New York, United States","                            As Holo and Lawrence begin the final leg of their journey, Lawrence decides to accompany Holo to her ancient home of Yoitsu, if only to forestall their parting just a bit longer. Boarding a ship from the port of Lenos (much to the chagrin of the wisewolf, who is none too fond of water!), the pair's fate becomes entangled with that of a boy named Col, whose tale of his circumstances - combined with the gossip of the sailors - leads to a shocking revelation about Holo's homeland!"
